symbol,root,expiry,first_date,last_date,n
ESU26.CME,ES,2026-09-18,2023-08-18,2026-09-18,774
ESZ26.CME,ES,2026-12-18,2021-09-16,2026-09-18,1257
ESH27.CME,ES,2027-03-19,2023-08-18,2026-09-18,774
ESM27.CME,ES,2027-06-17,2023-08-18,2026-09-18,774
ESU27.CME,ES,2027-09-17,2023-08-18,2026-09-18,774
NQU26.CME,NQ,2026-09-18,2025-03-20,2026-09-18,377
NQZ26.CME,NQ,2026-12-18,2022-05-23,2026-09-18,1085
NQH27.CME,NQ,2027-03-19,2025-09-18,2026-09-18,252
NQM27.CME,NQ,2027-06-17,2025-12-18,2026-09-18,188
RTYU26.CME,RTY,2026-09-18,2025-06-20,2026-09-18,314
RTYZ26.CME,RTY,2026-12-18,2025-04-25,2026-09-18,352
RTYH27.CME,RTY,2027-03-19,2025-12-18,2026-09-18,187
