ticker,name,weight,shares
FROG,JFrog Ltd.,0.34,2798182.0
MOG-A,Moog Inc.,0.34,734470.0
TWST,Twist Bioscience Corporation,0.34,1673094.0
UMBF,UMB Financial Corporation,0.33,1911938.0
HUT,Hut 8 Corp.,0.31,2651590.0
GKOS,Glaukos Corporation,0.31,1477526.0
VSAT,"Viasat, Inc.",0.31,3254567.0
BTSG,"BrightSpring Health Services, Inc.",0.31,4187125.0
CYTK,"Cytokinetics, Incorporated",0.31,3386229.0
TXG,"10x Genomics, Inc.",0.3,3059662.0
FCFS,"FirstCash Holdings, Inc.",0.3,1061053.0
SM,SM Energy Company,0.3,6255464.0
ONB,Old National Bancorp,0.3,9072381.0
KRYS,"Krystal Biotech, Inc.",0.29,669028.0
PTGX,"Protagonist Therapeutics, Inc.",0.29,1576225.0
EAT,"Brinker International, Inc.",0.29,1114054.0
CTRE,"CareTrust REIT, Inc.",0.29,5816361.0
IDCC,"InterDigital, Inc.",0.28,669440.0
RHP,"Ryman Hospitality Properties, Inc.",0.27,1745258.0
TGTX,"TG Therapeutics, Inc.",0.27,3726348.0
HQY,"HealthEquity, Inc.",0.27,2179034.0
SSRM-NE,SSR MINING,0.26,5664672.0
PCVX,"Vaxcyte, Inc.",0.26,3375017.0
FLR,Fluor Corporation,0.26,3687563.0
